Family,BOL,MzA,MzB
T4virus,T4virus,T4virus,T4virus
P12002virus,P12002virus,P12002virus,P12002virus
Prasinovirus,Lambdavirus,Prasinovirus,Prasinovirus
Lambdavirus,P70virus,Lambdavirus,Lambdavirus
Bxz1virus,Slashvirus,Bxz1virus,Bxz1virus
P70virus,P12024virus,P70virus,P70virus
Slashvirus,M12virus,Slashvirus,Slashvirus
P12024virus,Vp5virus,P12024virus,P12024virus
M12virus,Rsl2virus,M12virus,M12virus
Vp5virus,Cba41virus,Vp5virus,Vp5virus
Rsl2virus,Bpp1virus,Rsl2virus,Cba41virus
Cba41virus,Vi1virus,Cba41virus,Bpp1virus
Bpp1virus,P22virus,Bpp1virus,Phicbkvirus
Vi1virus,Luz24virus,Vi1virus,Kp36virus
Prymnesiovirus,Prtbvirus,Prymnesiovirus,
Phicbkvirus,Xp10virus,Phicbkvirus,
P22virus,Nit1virus,P22virus,
Luz24virus,Hp1virus,Luz24virus,
Kp36virus,Phic31virus,,
Prtbvirus,,,
Xp10virus,,,
Nit1virus,,,
Hp1virus,,,
Phic31virus,,,
